property_rights,government_integrity,judicial_effectiveness,tax_burden,government_spending,fiscal_health,business_freedom,labor_freedom,trade_freedom,investment_freedom,financial_freedom
50.0,30.0,26.1,50.1,65.3,59.1,55.0,38.8,51.8,30.0,50.0
50.0,10.0,29.6,51.7,91.5,65.9,70.0,32.7,45.0,50.0,30.0
70.0,70.0,68.9,60.5,36.0,46.0,70.0,41.5,77.8,50.0,50.0
50.0,50.0,34.3,75.4,0.0,80.9,55.0,80.6,45.0,50.0,50.0
10.0,10.0,36.3,68.8,87.1,27.3,40.0,65.5,44.6,30.0,30.0
70.0,10.0,52.5,44.5,63.3,93.6,85.0,41.1,74.8,70.0,70.0
90.0,90.0,77.1,64.2,14.8,81.2,85.0,81.8,75.2,50.0,70.0
50.0,10.0,29.6,51.1,89.8,60.9,55.0,51.5,25.0,50.0,50.0
90.0,70.0,92.9,59.6,53.9,84.6,70.0,85.8,77.0,70.0,90.0
50.0,50.0,41.7,69.7,69.1,53.4,85.0,62.7,45.4,70.0,50.0
90.0,50.0,63.4,79.4,87.0,91.7,85.0,74.5,63.0,70.0,50.0
30.0,30.0,25.4,61.6,0.0,58.2,40.0,44.349999999999994,25.0,30.0,30.0
30.0,10.0,22.2,78.2,73.4,5.4,70.0,57.1,45.0,70.0,30.0
70.0,70.0,55.4,43.6,3.6,68.2,85.0,53.0,77.8,70.0,50.0
50.0,50.0,56.6,77.5,76.5,79.9,70.0,70.0,65.0,70.0,70.0
50.0,30.0,45.8,52.2,86.1,80.8,70.0,56.1,12.6,50.0,50.0
90.0,90.0,73.2,53.6,67.7,49.3,85.0,82.4,82.0,50.0,70.0
50.0,50.0,56.6,51.0,9.6,81.5,70.0,61.3,57.0,70.0,50.0
50.0,30.0,38.5,81.5,89.6,78.1,70.0,87.8,57.8,70.0,50.0
50.0,50.0,55.6,82.6,90.8,42.5,70.0,60.1,78.0,70.0,50.0
70.0,50.0,44.5,80.7,86.6,52.6,85.0,44.9,58.4,70.0,50.0
50.0,50.0,44.0,68.0,63.0,14.1,55.0,62.9,53.6,50.0,50.0
70.0,50.0,38.0,57.7,22.3,84.9,85.0,64.5,75.0,70.0,50.0
50.0,10.0,34.3,80.5,86.0,82.2,85.0,77.6,65.0,70.0,70.0
90.0,90.0,91.5,80.8,88.1,80.0,100.0,96.9,83.0,90.0,70.0
30.0,10.0,32.6,44.0,91.5,78.7,40.0,62.5,0.0,50.0,30.0
30.0,30.0,65.4,70.6,93.7,85.9,55.0,62.6,20.0,50.0,50.0
70.0,30.0,52.6,46.6,70.6,55.5,70.0,74.2,59.2,70.0,70.0
10.0,10.0,10.0,47.6,0.0,64.4,40.0,20.0,60.0,10.0,10.0
70.0,50.0,38.7,72.4,86.8,69.8,55.0,59.9,66.2,70.0,30.0
50.0,50.0,66.8,84.6,79.6,71.1,70.0,73.7,63.0,70.0,50.0
50.0,10.0,26.3,37.3,72.1,90.6,70.0,40.9,17.6,30.0,10.0
70.0,50.0,48.7,63.2,64.7,50.0,70.0,80.6,42.0,70.0,50.0
70.0,50.0,28.4,47.6,17.3,3.8,70.0,75.0,55.0,70.0,50.0
60.0,70.0,53.7,99.4,71.7,6.5,100.0,79.1,78.4,50.0,70.0
50.0,10.0,45.1,75.5,67.1,87.7,85.0,59.6,52.0,70.0,50.0
50.0,10.0,56.3,42.0,31.5,85.4,70.0,74.9,60.0,50.0,50.0
70.0,50.0,44.3,57.5,72.8,60.6,70.0,31.7,49.8,70.0,50.0
30.0,10.0,35.2,60.4,74.8,16.6,55.0,37.9,75.0,30.0,30.0
30.0,10.0,58.5,39.4,52.2,90.9,55.0,62.5,79.0,70.0,50.0
90.0,90.0,76.9,64.8,57.8,53.3,85.0,95.4,78.4,70.0,70.0
50.0,10.0,12.3,91.0,60.7,46.8,55.0,39.4,65.4,70.0,30.0
30.0,10.0,18.7,78.3,75.1,94.8,55.0,63.4,54.4,50.0,30.0
30.0,10.0,29.5,61.8,47.1,75.9,55.0,51.2,55.0,50.0,50.0
30.0,10.0,21.4,74.7,87.9,82.5,70.0,47.2,37.6,50.0,30.0
50.0,30.0,44.2,69.3,64.1,28.1,55.0,58.8,64.0,50.0,50.0
90.0,90.0,80.9,46.3,9.6,81.1,70.0,73.6,81.0,70.0,90.0
50.0,30.0,41.9,46.0,50.5,94.3,55.0,78.4,72.4,70.0,50.0
70.0,70.0,67.3,74.1,78.3,80.7,85.0,72.3,67.0,70.0,50.0
50.0,10.0,13.1,80.0,76.1,17.6,85.0,32.3,65.0,50.0,70.0
50.0,50.0,51.7,76.7,74.4,7.7,55.0,57.5,56.4,50.0,50.0
30.0,10.0,33.4,48.9,80.6,84.8,55.0,63.3,65.0,70.0,30.0
70.0,50.0,54.0,53.7,55.1,98.2,70.0,69.7,46.2,50.0,50.0
90.0,90.0,93.0,61.3,37.3,53.5,100.0,73.5,77.8,70.0,90.0
50.0,10.0,62.8,68.2,51.8,90.0,70.0,60.0,63.6,70.0,50.0
70.0,30.0,82.0,44.8,30.0,79.0,85.0,64.9,80.4,90.0,50.0
10.0,10.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0
70.0,50.0,51.8,46.8,0.0,82.4,85.0,67.7,61.0,70.0,50.0
50.0,70.0,43.7,66.3,81.8,9.5,55.0,56.5,31.2,30.0,50.0
70.0,10.0,34.1,59.1,82.1,49.2,55.0,47.8,32.4,70.0,70.0
90.0,90.0,84.0,93.0,93.5,100.0,100.0,86.7,90.0,90.0,70.0
50.0,30.0,48.3,64.3,78.3,30.4,70.0,61.8,54.2,50.0,70.0
70.0,50.0,82.8,82.0,63.3,99.8,85.0,55.8,77.0,90.0,70.0
30.0,30.0,23.1,84.3,95.3,90.1,55.0,56.2,31.0,50.0,50.0
70.0,50.0,35.3,63.5,69.3,39.7,70.0,69.5,58.0,70.0,50.0
50.0,10.0,54.3,46.8,92.4,13.2,55.0,62.3,0.0,50.0,30.0
70.0,50.0,53.9,45.2,36.8,36.1,70.0,51.8,77.8,70.0,70.0
50.0,10.0,28.2,90.1,91.5,96.3,70.0,28.1,58.4,90.0,70.0
90.0,90.0,78.0,33.2,30.6,90.8,85.0,44.4,77.8,70.0,70.0
50.0,50.0,35.2,48.8,69.5,19.2,70.0,52.9,54.2,50.0,50.0
50.0,30.0,34.7,77.8,90.6,79.0,55.0,60.1,53.8,50.0,50.0
70.0,50.0,56.1,62.5,55.3,70.5,70.0,54.4,77.8,70.0,30.0
50.0,50.0,35.4,83.8,93.6,78.5,70.0,64.5,65.0,70.0,70.0
